,Florida,California,Virginia,Texas,Massachusetts,New York,Connecticut,New Jersey,Washington,Michigan,Arizona,Colorado,Utah,Maine,North Carolina,Iowa,New Hampshire,Montana,Kansas,the District of Columbia,Rhode Island,Oregon,Vermont,Missouri,Pennsylvania,New Mexico,Maryland,Idaho,Georgia,Nevada,Tennessee,Illinois,Minnesota,Oklahoma,South Carolina,Mississippi,Indiana,Hawaii,Alabama,North Dakota,Louisiana,Arkansas,Wisconsin,Alaska,West Virginia,Ohio,Nebraska,South Dakota,Wyoming,Kentucky,Delaware
2000-11-01,113061.04681165748,206349.90165525783,130088.40151811014,113928.93155180164,214428.98060555416,161760.14784343095,171091.58936701372,180462.59857654464,180096.68670085954,121113.41350855671,141093.50993922105,191355.1730588886,174066.48911081234,113049.62129405218,132748.19296873428,93488.1801349189,143572.2330005094,,90856.37314469558,171345.50267432057,139555.06200860217,154493.92642621894,119981.27580672457,101974.92978698178,102493.56781097695,,155817.7221277183,125191.33491006221,132865.06454509826,159048.31610248817,114701.30554050009,134473.19009973187,135085.66337351687,86395.29007811347,118675.60062904337,92642.2571954793,98725.09722710594,201027.52089135078,102818.61568025139,,112650.4260946265,92266.06143561605,123076.59873962145,135971.05547075917,75716.97006301345,108112.6038185896,116435.52169258258,105929.47716068891,,91859.43540504535,155102.2874399482
2000-12-01,113792.92258800605,208675.21641954023,130999.98889299024,114302.47294644291,217373.4204402724,163024.40504398683,172343.47499685572,181885.8999998032,180896.27184217234,121957.70227192513,141730.7777934542,193303.92391171496,174588.8847090724,114113.100757849,133335.58349780212,93974.83264983066,145386.90470175,,91289.58436014352,171699.74741400775,140637.6257879523,154942.37479469497,120862.44640098192,102688.35038365802,102975.65647930109,,156686.9635645499,125435.46318316051,133828.604822026,159755.92942480562,115120.13820347824,135347.45243824413,136679.34309920148,86796.10479525053,119122.9734564639,93304.47304699568,99378.34269917948,201798.69807748194,103273.25315586053,,113286.64543586953,92771.59828884393,123661.6944459817,136310.34459161168,76306.8567918555,108568.25757619627,116767.55695913675,105828.43271625733,,92306.30423456419,155877.8159260825
2001-01-01,114462.1292409149,210642.31827331186,131917.95617115998,114525.49411431038,220034.04289126478,164237.01542169086,173440.35627043343,183218.0533917699,181732.81618725602,122755.49952694318,142351.38999666183,195258.3995239873,175075.2192446779,115421.95613238968,133942.20873602107,94305.02753958855,147038.8950287246,,91828.45175429794,172488.0255186389,141700.1923781128,155447.95037125645,121644.8994397677,103220.59417335776,103451.50990015909,,157404.3793584333,125831.21587225243,134763.94548541793,160481.39314187426,115598.60765552621,135975.00975236236,138116.27373601586,87242.18102973209,119644.06363673258,93907.22184411746,99849.52649422153,202444.50294090385,103781.10158805153,,113992.12551645294,93369.32364453007,124197.56526569962,138709.14428178547,77024.5866370594,108991.03679499158,117274.5662702309,105889.12549056082,,92826.1300495843,156737.60460763588
2001-02-01,115126.98676521111,212587.37779293317,132732.19407539035,114491.79538998519,222463.48909653115,165246.22865903025,174351.20222625366,184687.65745850687,182560.17502519814,123371.61366315557,142970.4366750495,197099.67432851848,175354.96314178137,116633.26453962037,134394.57243905097,94602.93679473642,148807.10936862286,,92450.32380333793,173295.39704352026,142763.94876155924,155876.24587990178,122519.9596601181,103588.75138025165,103886.59507274204,,158056.51013049867,126232.40650810167,135568.8642955188,161251.21034573807,115977.61061474872,136603.81722492308,139402.14997778993,87675.08089026487,120110.29668194354,94269.62707893639,100010.85034367557,203083.09085920415,104211.19747483335,,114607.50926758333,93754.15379263234,124721.2048269778,142505.31858158155,77473.7675390891,109327.39131555439,117614.71123668471,106107.31998937535,,93300.37304035522,157439.7532830156
2001-03-01,115822.0065400676,214776.70269897053,133571.1479830442,114268.63058160017,224858.0760815762,166156.4722917254,175364.18979200604,186147.292979515,183338.5466052381,123875.22733687975,143592.42563789804,198966.34512466696,175522.97966322198,117767.47681939001,134760.42872461173,94793.01226825033,150471.36350227226,,93104.70809669343,174435.11955225284,143897.47640665175,156331.37241641153,123436.44901662857,103996.27153775342,104324.20139881049,,158610.8623783924,126784.65911053948,136256.26721807572,162089.6325450129,116295.41545053116,137285.4790109979,140679.31987205858,88050.15226213599,120593.06545597827,94491.53042553563,100009.48192550027,203654.9950265355,104565.63215885258,,115200.19009468712,94043.20136443425,125244.71055179207,147351.4715931099,77812.61680763357,109639.74644079618,115246.70889343263,106555.18895765854,,93752.49910074193,158204.50975800445
2001-04-01,116642.99299541529,217498.8311232808,134448.08832946594,114137.88467644488,227332.12825363377,167106.80361441278,176534.48773599684,187689.6277113323,184099.81652803833,124316.49764007365,144224.76128393333,200783.64523302228,175697.5582913451,118661.04275831867,135030.8750842845,95055.6255880409,152188.0451407051,,93669.44960769957,176170.0882056245,145215.44584033173,156728.6708531915,124357.12497977474,104520.5453122364,104793.74774470489,,159357.00196683194,127316.40231525553,136889.91105794607,162927.8741544037,116547.93511108449,137980.01594649392,142062.4684355956,88402.50260692107,120923.70422393235,94677.39989497272,99964.69738545234,204337.98241775364,104821.18421105847,,115717.06310549006,94222.95873913605,125822.142685881,151019.50569886828,77971.4983967273,109949.04619122088,111865.85979022864,106958.13541654691,,94157.92445569688,158933.74681379684
2001-05-01,117542.22077915022,220226.59522799414,135418.07025311905,114181.78354025028,229888.2255848969,168156.35520276905,177852.5422201238,189211.86025721292,184757.91188115356,124851.8200025432,144866.6112745097,202597.33946602838,175796.83603292148,119729.22234096295,135345.54167843683,95356.29166451104,154104.15161540182,,94196.88286113493,178150.52534749825,146617.51643576214,157174.9208154092,125207.46260297378,105142.7977434143,105243.11328528183,,160230.3340964273,127836.73116071825,137589.8891981611,163820.2201704862,116839.36226914862,138806.5520000227,143475.83583905295,88711.27966463244,121296.91417179478,95011.42927937106,100162.46495047353,205325.1896632898,105074.20801995958,,116189.28182150109,94552.21575687437,126418.6820415123,154059.03136442634,78282.39625220188,110284.61467998855,108367.14939932576,107547.84556889418,,94581.58494961157,159689.99249261306
2001-06-01,118480.86960937349,222704.543253827,136388.25742709808,114314.89466210264,232572.12469405145,169314.807708169,179181.08835775012,190907.6596658899,185431.4195336691,125398.32745495327,145514.0192301791,204217.916822119,175963.01368987912,120907.9045519863,135662.04649228745,95739.8025975031,156154.80871565206,,94707.71377345179,180061.11336584878,148063.65681693252,157640.24076440468,126009.78874632002,105823.17911520152,105700.62702106724,,161281.60349292567,128223.77496407449,138288.82789621808,164685.56012824553,117123.88232305252,139677.59861487304,144890.51243799203,89017.62716728426,121693.31864394784,95365.9500883066,100513.42540837044,206446.8876654289,105334.73585427365,,116621.40812239378,94926.27924760683,127047.92629797215,156611.39190608365,78597.61086738684,110614.97332321445,107486.47825950984,107851.65127809242,,95032.82976802066,160432.548519067
2001-07-01,119489.94441704958,225024.46207330932,137432.88350658552,114471.25976978615,235418.23903968852,170531.01017147614,180468.92896985097,192733.7706035558,186068.42246502475,125964.89437519142,146129.9632538644,205816.12304310143,176101.16867312172,122236.36781976697,135964.16057590814,96127.81103683657,158207.121367611,,95208.4995597924,181981.48720843307,149614.17185862624,158185.03102424662,126832.94802622455,106518.31188340875,106192.8624917883,,162411.4957921765,128620.85128684033,138985.93175395462,165607.66303256227,117396.57372614281,140576.16149985293,146374.17517510944,89306.18337456368,122178.8205171253,95660.31315077103,100939.71057911572,207678.30145766804,105629.48615696153,,117036.3725266847,95357.53917019354,127718.1599416366,159005.43477113475,78912.73893669175,110983.55531678362,107459.62696972919,108142.1602883973,,95482.97568484663,161139.45855050048
2001-08-01,120559.49596558686,227259.73852879726,138485.2096151188,114611.71150913334,238519.47710930975,171807.6564060678,182136.17353944833,194749.47281575328,186853.20259243614,126565.27411382755,146739.09777784895,207390.51452850946,176370.08528293142,123375.55201911245,136307.97294487417,96551.91585865039,160081.8679164858,,95678.2790083117,184098.49798757365,151468.20360054754,158804.77961850597,127590.33601139048,107155.9523159491,106735.09602807327,,163657.42156245446,129102.0372069822,139693.85342170493,166548.21122102576,117717.71254890005,141675.94265081696,147989.81128483548,89628.5449247255,122575.54767435811,95994.65295194539,101314.1693540151,208879.54607819192,105891.58575536839,,117503.85595284932,95716.58714309968,128424.02015341232,160738.01499126593,79204.8197711898,111392.69107250468,107626.37977324841,108211.61858573976,,95880.48187004747,161888.19443623806
2001-09-01,121668.3139820657,229429.28374846783,139570.1132178734,114759.42796754088,241532.21864690783,173056.2721622283,183981.91782502146,196910.90766877471,187565.84727570857,127218.06235164074,147352.2019449449,208869.5756464995,176619.7946130468,124456.60275540763,136659.44617162846,96975.36544832327,161965.83143990414,,96100.42164820204,186348.9683568985,153505.7488374885,159385.95103950202,128354.98697447868,107768.78389525978,107283.91413820368,,164933.6723710483,129620.96090694961,140399.26636811168,167518.92203971415,118057.9975573233,142938.28384048794,149714.23876355536,89967.31606391998,122914.94709980076,96302.26701960237,101514.25026615273,210208.08313292905,106186.08425054907,,117977.1828067021,96024.56793089079,129133.90380689509,161954.84830968897,79452.91674865586,111809.98642574115,107859.20958428686,108302.35705613911,,96222.41831901633,162684.3527000003
2001-10-01,122780.17455693007,231457.85523109557,140608.8125921286,114913.93615422565,244743.86890492434,174370.48481007785,186062.52141189427,199166.11752071648,188361.62566530108,127878.95936876342,148014.65953040458,210162.0325890001,176882.11643880478,125428.70218127618,137046.31892619815,97405.84366153373,163774.48911462526,,96515.98442138296,188605.7253587211,155781.3053849534,159946.1464735525,129177.12949239176,108408.91761673569,107788.22446610934,,166150.62414323373,130109.0095361622,141096.67683398226,168504.82970491893,118431.48678035689,144390.5487068646,151495.70576550337,90284.71643933568,123231.91180552733,96778.36923959722,101820.6343661754,211566.5635898373,106524.58793200414,,118441.26098729564,96221.96738101279,129823.43388900114,162764.8790587494,79719.55093968876,112210.42063166066,108083.44164683501,108510.01960936164,,96523.21611218214,163534.52568928697
2001-11-01,123846.49157772963,233363.57076465458,141683.82078290047,115026.8256299793,247899.05657265705,175746.23988325126,187880.49068283095,201228.69671806638,189061.34427543692,128478.78340962673,148701.04781118745,211215.24877177304,177073.82285473598,126582.16184713195,137348.42666952207,97821.95920550491,165519.33959535707,,96917.80211832288,190759.90840622014,157816.0900692902,160445.0647072665,130154.44604345306,109090.96681956098,108300.32464215143,,167342.05448024356,130419.2153534507,141728.71407715595,169426.22810812815,118737.5080974512,145498.655818356,153191.14235574775,90546.41616435295,123563.97885108979,97135.36787391493,102059.69227920288,212772.5784210123,106856.4990134941,,118885.66820274235,96357.92048789107,130479.22912432878,163694.76723582402,79880.44384717927,112572.28145105636,108304.23770129336,108757.57825171268,,96810.4992347792,164418.91565875092
2001-12-01,124892.2818161882,235145.66101358063,142704.13435109437,115118.02715345663,250869.2403286555,177207.01914911644,189387.1539589682,203087.4878953478,189916.57235239688,129033.90502818553,149342.83506211094,212042.4919595064,177160.33313959104,127702.88894361991,137613.2418634901,98248.28865685115,167248.77385203232,,97329.99305285815,192944.71866178003,159800.763922695,160972.48074502035,131174.8921182271,109783.26084164815,108784.72985096369,,168552.29551430573,130693.39777075387,142317.82219595055,170380.21295947392,118970.28505023773,146318.6140882678,154642.05472615294,90779.5165747762,123896.27360679429,97416.79725588598,102385.52842091543,213847.49659072628,107103.04865152731,,119280.09242661418,96438.00025800534,131108.88549547116,164743.0976270757,79991.72421659112,112899.54268372455,108545.12254059932,108922.151356239,,97069.77714682382,165322.30342775056
2002-01-01,125836.51398506698,236585.51993972677,143661.53312402221,115149.14580312395,253284.53448951893,178649.2704078541,190577.2712346766,204826.875315939,190639.25921924112,129607.36502207686,149879.52839197652,212511.9162036342,177181.71195669088,128980.57734394522,137835.12062217924,98528.46898691356,168975.35451212185,,97720.35180744382,195038.52964623296,161421.1902053931,161477.87820485633,132239.43196069516,110414.6210938393,109266.70018765,,169769.3085978952,130869.10576239978,142819.1862423109,171241.58754260093,119137.55828603556,146884.64537802592,155846.81340463556,91001.67594300189,124149.29263379879,97556.20187155541,102433.01625481975,214611.64608671085,107248.69440738058,,119580.5259228532,96530.91075756079,131704.2395393935,165511.43277008462,80082.51112034217,113176.48635365682,108842.66186920418,109051.78046857538,,97285.07360669955,166244.4275085913
2002-02-01,126709.94066207534,238057.59502020033,144610.6800294517,115235.41296199906,255353.4738198903,179958.62558300156,191663.95724514194,206618.0649637654,191343.0959152731,130098.74300939495,150365.5018368226,212932.92949467964,177101.42456079283,130270.03360980924,138022.8142511481,98712.93995784892,170632.56274388582,,98046.28731431543,197138.48646376035,163094.22553872236,161970.7806321656,133293.13149008522,111015.35693703294,109744.04242562637,,170944.1552701247,131125.8052310172,143302.1038179178,172000.1467048987,119318.55360429625,147546.64750312097,156852.34157690444,91275.63280516217,124301.66497075553,97603.3310129876,102419.86916372408,215605.97006322024,107405.99403743217,,119916.89829782616,96679.12067214261,132255.55123324605,166126.37744373348,80287.89604604153,113403.7908786527,109128.28792838241,109515.960351119,,97499.04832437237,167171.18824510384
2002-03-01,127563.89321173316,239780.6217682648,145606.29005215643,115451.58621942058,257461.0057663206,181069.0829728469,192917.78790519666,208448.14886060465,191961.52784414054,130531.00741583371,150893.29803088136,213535.31364483884,177151.68953658282,131633.35724790083,138201.40498264585,98806.60238579538,172103.78550108397,,98338.57052046868,199088.76686506512,164730.76885856505,162453.07774802003,134379.94879552053,111533.06749951931,110241.74260127556,,172123.71307854113,131322.78771589496,143741.00249943585,172834.83234722243,119506.00915398133,148350.95990946513,157779.57326416537,91534.70818557672,124434.05668030627,97644.30861791136,102251.01076167799,216745.51784081943,107538.47838660462,,120308.0399347479,96866.53127793745,132758.30683627355,166638.73569133927,80578.98675286637,113622.21566309316,109483.47899361538,109884.70187130617,,97699.8702606079,168160.184180537
2002-04-01,128524.74755757391,242105.59015556032,146731.40838478084,115831.73746737542,259704.27781690043,182163.73861144393,194397.60346634095,210292.29870644593,192527.42601777424,130847.76316839259,151479.5562160064,214317.22174137694,177278.28842571235,133035.80697064567,138318.8929882738,99058.76686520014,173665.1246027916,,98610.9150153934,201352.98761724247,166609.32082162262,162952.38717052047,135426.8297533577,112026.7625374102,110789.42874868156,132962.7477448681,173448.49422818117,131536.56926737033,144209.5341020039,173786.2262789698,119675.58158311549,149101.92252182498,158662.863125962,91809.26903722635,124557.25696861332,97602.11815891736,102104.61846458058,218206.45019808432,107688.48846203921,,120768.77848126367,97084.1879327254,133239.80477854473,167479.69228600667,80829.29221585546,113843.0224680041,109773.08774667943,110138.43590644065,142195.82849980102,97905.91637500603,169197.17863324858
2002-05-01,129578.99489232672,244820.26212229603,147890.10276498014,116279.60029267955,262126.28853698037,183330.64916918008,196147.19243826458,212205.25909483767,193023.20784444187,131171.18982003318,152074.57063713807,215200.76330143306,177388.77899601893,134371.55515896983,138501.27008214445,99438.85724509881,175162.172932707,,98623.18362305425,203901.7478698565,168796.59116141585,163585.03658440156,136408.18600373372,112542.93274312025,111387.87115376921,133188.56454217967,175106.41587701906,131773.96356360734,144687.48535592176,174859.2121976289,119864.83539705671,149898.27251362352,159807.5949474596,92050.37075844646,124774.73477874305,97712.22158936807,102139.76365352975,219497.46741295818,107879.45273115103,,121615.745538646,97365.90752831507,133747.93479011324,168234.60514197298,81042.55202356416,114104.52657565735,110175.69961367005,110241.65277876153,140931.90277495375,98096.72369922088,170223.49149954962
2002-06-01,130681.26540134626,247832.20505861155,149169.92679489948,116781.36978414562,264644.1345018674,184685.61360003366,198143.084255457,214353.0900785164,193466.89740504182,131529.04499453012,152743.6669929583,215949.06262038145,177486.72071657295,135762.6500155913,138692.56762598336,99934.3925854226,176836.47117525173,,98554.5242427732,206733.72234973896,171221.89644942814,164340.87941977894,137367.13297330507,113138.08321077623,112046.77014409105,133288.59093134143,177006.79881573576,132124.6625595018,145177.03340528856,175764.02154240827,120081.5690309867,150683.7091105931,160981.74645064306,92296.7912349425,125007.40320424271,97899.54961786006,102400.30349761223,220920.34672097987,108117.08942721966,,122418.02077574666,97702.3471651828,134300.1002895724,168843.50722542428,81247.26953996217,114397.29277363604,110495.18228221957,110592.98161289503,140355.97124876035,98309.05093985552,171316.55742353745
2002-07-01,131803.48055958323,251316.68417303055,150528.16027190373,117291.41302942687,267491.99502876535,186141.0841029566,200268.59222863193,216765.02261661776,194029.99468465507,131876.46073720665,153467.65323863676,216675.6772994545,177582.001076519,137163.30432627298,138953.68375596427,100378.09181039785,178525.03414658658,,98457.43567360257,209503.01783994216,173936.94564096618,165167.9830214073,138231.83629123712,113784.14040692356,112784.18646304421,133632.23666923758,179118.77958536928,132479.7027418629,145638.97069186138,176590.76737010785,120335.47162319499,151628.09392729073,162260.65515462717,92560.15758647997,125339.40795419963,98226.22870419019,102755.02135146705,222657.5491363108,108393.31213904615,,123263.65803674312,98092.7777132534,134879.53423310776,169390.97501551444,81500.18015300191,114739.21299056655,110846.8481067802,111014.62440993097,139476.30698957713,98573.14225535865,172437.97530707266
2002-08-01,133002.79925734983,255067.62469054747,151976.83063215113,117830.40348045337,270514.38350660837,187766.2869417332,202342.00492060618,219709.29648314198,194706.33396284535,132268.07698101414,154291.34166115266,217189.5384985007,177609.61742441947,138485.21516906793,139212.86721599998,100767.30269765611,180475.90792407488,,98437.26563792532,212121.98794278313,177143.2859853718,165855.6010093058,139031.00054390667,114379.09938392263,113616.45958725759,134006.9160236925,181284.55434525487,132808.94816324938,146083.52830908156,177359.78608748713,120568.22145987705,152829.80593609466,163420.16606000855,92839.60360281868,125660.19206273936,98521.79164246806,102940.24533869758,224900.78982966163,108641.63821577583,,123422.11159721145,98434.2731227367,135528.28328707154,169959.1528761177,81794.4347657032,115095.90075033507,111148.99436594716,111403.96177764132,139556.22298016268,98863.61787192574,173650.18697648487
2002-09-01,134189.3269487526,258857.17622004217,153425.32220635162,118305.43982358434,273846.3692413059,189440.76839900276,204195.03447259497,222980.3008328715,195378.56092134616,132640.77261671762,155002.96474052212,217725.25450356296,177486.19336439157,139751.00041883092,139474.40440963532,101069.5273344459,182550.7724840124,,98464.12749733195,214844.19226478567,180951.31754927375,166452.6109798069,139726.3410218736,114984.92667067524,114480.13988139358,134452.75968022755,183403.0839711322,133125.35531392865,146538.5803516893,178073.401745653,120810.65531061799,154158.9088841485,164625.25573180488,93142.23538239172,125980.24781262387,98866.87545991522,102975.40036967112,227607.7218237232,108905.25607802357,,123540.93409158786,98784.32514992135,136197.447905775,170580.51266795394,82088.185836045,115455.10366422469,111477.14617457047,111897.83802822167,140123.65447738362,99172.48128908685,174789.55075138446
2002-10-01,135374.29870989473,262453.36257157597,154830.7512577176,118713.09639048249,277687.4543643051,191110.23898293622,206377.28521754945,226420.5360767562,196036.22557188498,133078.62960806055,155717.39217645727,218261.1898528003,177135.24090920188,140906.6362788186,139732.6726734468,101407.79180450924,184829.26772943905,,98494.81195192733,217760.60396989642,184677.3868288953,167009.52427501697,140456.3724353678,115636.7972591477,115326.2860858813,134844.71473424707,185423.031916705,133449.3312706227,147016.84264861178,178968.30844415576,121089.2159910415,155590.88601447933,165796.7915846486,93433.38626387207,126282.69668223131,99279.18687987108,103119.90010436578,230268.1224119591,109168.70058655593,,123647.96765443099,99172.72555952077,136942.91888532104,171072.9884487841,82467.63908353519,115815.02820943436,111836.91348518222,112233.4696707697,140634.03560637133,99466.99480544619,175958.86329841995
